id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
550441259840462848	550441259840462848	2015-01-01 00:59:57 CET	2015-01-01	00:59:57	+0200	1624209679	def_star_radio	Def Star Radio		#NowPlaying Homeboy Sandman - Refugee :: Tune In:  http://t.co/8VHiGrq3er	en	[]	['http://www.dsr.fm']	[]	0	0	0	['nowplaying']	[]	https://twitter.com/Def_Star_Radio/status/550441259840462848	False		0								[]				
550441109818986497	550441109818986497	2015-01-01 00:59:21 CET	2015-01-01	00:59:21	+0200	1545666098	pinoy_vigilante	Pinoy_Vigilante		New Zealand needs more migrant workers  http://t.co/y2bKXjgzlT	en	[]	['http://fb.me/3C5H6onRa']	[]	0	0	0	[]	[]	https://twitter.com/Pinoy_Vigilante/status/550441109818986497	False		0								[]				
550441016373673984	550441016373673984	2015-01-01 00:58:59 CET	2015-01-01	00:58:59	+0200	2502895924	jewhaditm	Jewhadi™		Jeb Bush declines invitation from immigration hard-liner  http://t.co/SJAzd93wvW via @NewsRepublic	en	[{'screen_name': 'newsrepublic', 'name': 'news republic', 'id': '193622721'}]	['http://n.mynews.ly/!EB.CByR4']	[]	0	0	0	[]	[]	https://twitter.com/JewhadiTM/status/550441016373673984	False		0								[]				
550440877877760000	550440877877760000	2015-01-01 00:58:26 CET	2015-01-01	00:58:26	+0200	224449387	cfgenevievep	дайтеденег∞		@yoksalissab Соседи привет))) rise against – prayer of the refugee	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/cfgenevievep/status/550440877877760000	False		0								[]				
550440704220987392	550440704220987392	2015-01-01 00:57:45 CET	2015-01-01	00:57:45	+0200	38169764	willordcapulong	Willord Capulong		@vaporware Jeb Bush declines invitation from immigration hard-liner	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/WillordCapulong/status/550440704220987392	False		0								[]				
550440507680501760	550440507680501760	2015-01-01 00:56:58 CET	2015-01-01	00:56:58	+0200	2848554667	vickeylscott	Vickey L. Scott		Rubio: Immigration no 'bonanza' GOP  http://t.co/wicXDipyBZ	it	[]	['http://fb.me/3apZjWZZu']	[]	0	0	0	[]	[]	https://twitter.com/VickeyLScott/status/550440507680501760	False		0								[]				
550440225915564032	550440225915564032	2015-01-01 00:55:51 CET	2015-01-01	00:55:51	+0200	194499826	k3shtk4r	Mohammad Keshtkar		Jeb Bush declines invitation from immigration hard-liner  http://t.co/UI00Rg7RCX	en	[]	['http://ift.tt/1wCvLvu']	[]	0	0	0	[]	[]	https://twitter.com/k3shtk4r/status/550440225915564032	False		0								[]				
550440189516988417	550440189516988417	2015-01-01 00:55:42 CET	2015-01-01	00:55:42	+0200	1115784079	drmel_t	Dr Mel Thomson		Happy New Year @RichardMarlesMP As a Friend of Science &amp; Shadow Immigration Minister, Is it possible to look at this?  http://t.co/zIYHY9l806	en	[{'screen_name': 'richardmarlesmp', 'name': 'richard marles', 'id': '485139839'}]	['http://www.dilutedthinking.com/hln_2015seminars.php']	[]	0	0	1	[]	[]	https://twitter.com/DrMel_T/status/550440189516988417	False		0								[]				
550440147398176768	550440147398176768	2015-01-01 00:55:32 CET	2015-01-01	00:55:32	+0200	1507338108	sifill_ldf	Sherrilyn Ifill		Both Everything I Never Told You and Americanah focus on the experiences of immigration, race, gender &amp; belonging. @pronounced_ing	en	[{'screen_name': 'pronounced_ing', 'name': 'celeste ng', 'id': '956163518'}]	[]	[]	0	3	2	[]	[]	https://twitter.com/Sifill_LDF/status/550440147398176768	False		0								[]				
550440057270992897	550440057270992897	2015-01-01 00:55:10 CET	2015-01-01	00:55:10	+0200	54811393	museumsvictoria	Museums Victoria		Great way to start the new year -  add your wish to the @immigration_mv wish tree. #HappyNewYear #NewYearsDay  http://t.co/GeGzMby3d8	en	[{'screen_name': 'immigration_mv', 'name': 'immigration museum', 'id': '54823471'}]	['http://ow.ly/i/87wxB']	[]	0	0	0	['happynewyear', 'newyearsday']	[]	https://twitter.com/museumsvictoria/status/550440057270992897	False		0								[]				
